Code,Title,Levels,Runtime,RelDate,Season,Authors,Tier,Price,Seed,G.Ad.,Eber,RMH,Epic,URL
CCC-TRI-06,Haggard Heroes,5-10,4,,,,,,,,,,,
CCC-TRI-07,Beneath the Moonsea,5-10,4,,,,,,,,,,,
CCC-TRI-08,Dreadful Wail,5-10,4,,,,,,,,,,,
CCC-TRI-09,Tinhammer Falls,1-4,4,,,,,,,,,,,
CCC-TRI-10,Contact,11-16,4,,,,,,,,,,,
CCC-TRI-11,Flooded Dreams,1-4,4,,,,,,,,,,,
CCC-TRI-12,Ill Met in Ylraphon,1-4,4,,,,,,,,,,,
CCC-TRI-13,What Lies beneath Ylraphon,1-4,4,,,,,,,,,,,
CCC-TRI-14,The Voice in the Night,11-16,4,,,,,,,,,,,
CCC-TRI-15,The Dark of the Hive,11-16,4,,,,,,,,,,,
CCC-TRI-16,"Ph'theev, the Despondent",1-4,4,,,,,,,,,,,
